"Sample","Population","Population.Description","Gender"
"NA19437","LWK","Luhya in Webuye, Kenya","female"
"NA19438","LWK","Luhya in Webuye, Kenya","female"
"NA19439","LWK","Luhya in Webuye, Kenya","female"
"NA19440","LWK","Luhya in Webuye, Kenya","female"
"NA19443","LWK","Luhya in Webuye, Kenya","male"
"NA19445","LWK","Luhya in Webuye, Kenya","female"
"NA19446","LWK","Luhya in Webuye, Kenya","female"
"NA19448","LWK","Luhya in Webuye, Kenya","male"
"NA19449","LWK","Luhya in Webuye, Kenya","female"
"NA19451","LWK","Luhya in Webuye, Kenya","male"
"NA19452","LWK","Luhya in Webuye, Kenya","male"
"NA19454","LWK","Luhya in Webuye, Kenya","male"
"NA19455","LWK","Luhya in Webuye, Kenya","male"
"NA19456","LWK","Luhya in Webuye, Kenya","female"
"NA19457","LWK","Luhya in Webuye, Kenya","female"
"NA19461","LWK","Luhya in Webuye, Kenya","male"
"NA19462","LWK","Luhya in Webuye, Kenya","female"
"NA19463","LWK","Luhya in Webuye, Kenya","female"
"NA19466","LWK","Luhya in Webuye, Kenya","male"
"NA19467","LWK","Luhya in Webuye, Kenya","female"
"NA19468","LWK","Luhya in Webuye, Kenya","female"
"NA19471","LWK","Luhya in Webuye, Kenya","female"
"NA19472","LWK","Luhya in Webuye, Kenya","female"
"NA19473","LWK","Luhya in Webuye, Kenya","female"
"NA19474","LWK","Luhya in Webuye, Kenya","female"
"NA19475","LWK","Luhya in Webuye, Kenya","female"
"NA19625","ASW","African Ancestry in Southwest US","female"
"NA19648","MXL","Mexican Ancestry in Los Angeles, California","female"
"NA19649","MXL","Mexican Ancestry in Los Angeles, California","male"
"NA19651","MXL","Mexican Ancestry in Los Angeles, California","female"
"NA19652","MXL","Mexican Ancestry in Los Angeles, California","male"
"NA19654","MXL","Mexican Ancestry in Los Angeles, California","female"
"NA19655","MXL","Mexican Ancestry in Los Angeles, California","male"
"NA19657","MXL","Mexican Ancestry in Los Angeles, California","female"
"NA19658","MXL","Mexican Ancestry in Los Angeles, California","male"
"NA19661","MXL","Mexican Ancestry in Los Angeles, California","male"
"NA19663","MXL","Mexican Ancestry in Los Angeles, California","female"
"NA19664","MXL","Mexican Ancestry in Los Angeles, California","male"
"NA19669","MXL","Mexican Ancestry in Los Angeles, California","female"
"NA19670","MXL","Mexican Ancestry in Los Angeles, California","male"
"NA19676","MXL","Mexican Ancestry in Los Angeles, California","male"
"NA19678","MXL","Mexican Ancestry in Los Angeles, California","female"
"NA19679","MXL","Mexican Ancestry in Los Angeles, California","male"
"NA19681","MXL","Mexican Ancestry in Los Angeles, California","female"
"NA19682","MXL","Mexican Ancestry in Los Angeles, California","male"
"NA19684","MXL","Mexican Ancestry in Los Angeles, California","female"
"NA19700","ASW","African Ancestry in Southwest US","male"
"NA19701","ASW","African Ancestry in Southwest US","female"
"NA19703","ASW","African Ancestry in Southwest US","male"
"NA19704","ASW","African Ancestry in Southwest US","female"
"NA19707","ASW","African Ancestry in Southwest US","female"
"NA19711","ASW","African Ancestry in Southwest US","male"
"NA19712","ASW","African Ancestry in Southwest US","female"
"NA19713","ASW","African Ancestry in Southwest US","female"
"NA19716","MXL","Mexican Ancestry in Los Angeles, California","female"
"NA19717","MXL","Mexican Ancestry in Los Angeles, California","male"
"NA19719","MXL","Mexican Ancestry in Los Angeles, California","female"
"NA19720","MXL","Mexican Ancestry in Los Angeles, California","male"
"NA19722","MXL","Mexican Ancestry in Los Angeles, California","female"
"NA19723","MXL","Mexican Ancestry in Los Angeles, California","male"
"NA19725","MXL","Mexican Ancestry in Los Angeles, California","female"
"NA19726","MXL","Mexican Ancestry in Los Angeles, California","male"
"NA19728","MXL","Mexican Ancestry in Los Angeles, California","female"
"NA19729","MXL","Mexican Ancestry in Los Angeles, California","male"
"NA19731","MXL","Mexican Ancestry in Los Angeles, California","female"
"NA19732","MXL","Mexican Ancestry in Los Angeles, California","male"
"NA19734","MXL","Mexican Ancestry in Los Angeles, California","female"
"NA19735","MXL","Mexican Ancestry in Los Angeles, California","male"
"NA19740","MXL","Mexican Ancestry in Los Angeles, California","female"
"NA19741","MXL","Mexican Ancestry in Los Angeles, California","male"
"NA19746","MXL","Mexican Ancestry in Los Angeles, California","female"
"NA19747","MXL","Mexican Ancestry in Los Angeles, California","male"
"NA19749","MXL","Mexican Ancestry in Los Angeles, California","female"
"NA19750","MXL","Mexican Ancestry in Los Angeles, California","male"
"NA19752","MXL","Mexican Ancestry in Los Angeles, California","female"
"NA19755","MXL","Mexican Ancestry in Los Angeles, California","female"
"NA19756","MXL","Mexican Ancestry in Los Angeles, California","male"
"NA19758","MXL","Mexican Ancestry in Los Angeles, California","female"
"NA19759","MXL","Mexican Ancestry in Los Angeles, California","male"
"NA19761","MXL","Mexican Ancestry in Los Angeles, California","female"
"NA19762","MXL","Mexican Ancestry in Los Angeles, California","male"
"NA19764","MXL","Mexican Ancestry in Los Angeles, California","female"
"NA19770","MXL","Mexican Ancestry in Los Angeles, California","female"
"NA19771","MXL","Mexican Ancestry in Los Angeles, California","male"
"NA19773","MXL","Mexican Ancestry in Los Angeles, California","female"
"NA19774","MXL","Mexican Ancestry in Los Angeles, California","male"
"NA19776","MXL","Mexican Ancestry in Los Angeles, California","female"
"NA19777","MXL","Mexican Ancestry in Los Angeles, California","male"
"NA19779","MXL","Mexican Ancestry in Los Angeles, California","female"
"NA19780","MXL","Mexican Ancestry in Los Angeles, California","male"
"NA19782","MXL","Mexican Ancestry in Los Angeles, California","female"
"NA19783","MXL","Mexican Ancestry in Los Angeles, California","male"
"NA19785","MXL","Mexican Ancestry in Los Angeles, California","female"
"NA19786","MXL","Mexican Ancestry in Los Angeles, California","male"
"NA19788","MXL","Mexican Ancestry in Los Angeles, California","female"
"NA19789","MXL","Mexican Ancestry in Los Angeles, California","male"
"NA19792","MXL","Mexican Ancestry in Los Angeles, California","male"
"NA19794","MXL","Mexican Ancestry in Los Angeles, California","female"
"NA19795","MXL","Mexican Ancestry in Los Angeles, California","male"
"NA19818","ASW","African Ancestry in Southwest US","male"
"NA19819","ASW","African Ancestry in Southwest US","female"
"NA19834","ASW","African Ancestry in Southwest US","male"
"NA19835","ASW","African Ancestry in Southwest US","female"
"NA19900","ASW","African Ancestry in Southwest US","male"
"NA19901","ASW","African Ancestry in Southwest US","female"
"NA19904","ASW","African Ancestry in Southwest US","male"
"NA19908","ASW","African Ancestry in Southwest US","male"
"NA19909","ASW","African Ancestry in Southwest US","female"
"NA19913","ASW","African Ancestry in Southwest US","female"
"NA19914","ASW","African Ancestry in Southwest US","female"
"NA19916","ASW","African Ancestry in Southwest US","male"
"NA19917","ASW","African Ancestry in Southwest US","female"
"NA19920","ASW","African Ancestry in Southwest US","male"
"NA19921","ASW","African Ancestry in Southwest US","female"
"NA19922","ASW","African Ancestry in Southwest US","male"
"NA19923","ASW","African Ancestry in Southwest US","female"
"NA19982","ASW","African Ancestry in Southwest US","male"
"NA19984","ASW","African Ancestry in Southwest US","male"
"NA20126","ASW","African Ancestry in Southwest US","male"
"NA20127","ASW","African Ancestry in Southwest US","female"
"NA20274","ASW","African Ancestry in Southwest US","female"
"NA20276","ASW","African Ancestry in Southwest US","female"
"NA20278","ASW","African Ancestry in Southwest US","male"
"NA20281","ASW","African Ancestry in Southwest US","male"
"NA20282","ASW","African Ancestry in Southwest US","female"
"NA20287","ASW","African Ancestry in Southwest US","female"
"NA20289","ASW","African Ancestry in Southwest US","female"
"NA20291","ASW","African Ancestry in Southwest US","male"
"NA20294","ASW","African Ancestry in Southwest US","female"
"NA20296","ASW","African Ancestry in Southwest US","female"
"NA20298","ASW","African Ancestry in Southwest US","male"
"NA20299","ASW","African Ancestry in Southwest US","female"
"NA20314","ASW","African Ancestry in Southwest US","female"
"NA20317","ASW","African Ancestry in Southwest US","female"
"NA20318","ASW","African Ancestry in Southwest US","male"
"NA20320","ASW","African Ancestry in Southwest US","female"
"NA20321","ASW","African Ancestry in Southwest US","female"
"NA20332","ASW","African Ancestry in Southwest US","female"
"NA20334","ASW","African Ancestry in Southwest US","female"
"NA20339","ASW","African Ancestry in Southwest US","female"
"NA20340","ASW","African Ancestry in Southwest US","male"
"NA20342","ASW","African Ancestry in Southwest US","male"
"NA20346","ASW","African Ancestry in Southwest US","male"
"NA20348","ASW","African Ancestry in Southwest US","male"
"NA20351","ASW","African Ancestry in Southwest US","male"
"NA20355","ASW","African Ancestry in Southwest US","female"
"NA20356","ASW","African Ancestry in Southwest US","male"
"NA20357","ASW","African Ancestry in Southwest US","female"
"NA20359","ASW","African Ancestry in Southwest US","female"
"NA20362","ASW","African Ancestry in Southwest US","male"
"NA20412","ASW","African Ancestry in Southwest US","female"
"NA20502","TSI","Toscani in Italy","female"
"NA20503","TSI","Toscani in Italy","female"
"NA20504","TSI","Toscani in Italy","female"
"NA20505","TSI","Toscani in Italy","female"
"NA20506","TSI","Toscani in Italy","female"
"NA20507","TSI","Toscani in Italy","female"
"NA20508","TSI","Toscani in Italy","female"
"NA20509","TSI","Toscani in Italy","male"
"NA20510","TSI","Toscani in Italy","male"
"NA20511","TSI","Toscani in Italy","male"
"NA20512","TSI","Toscani in Italy","male"
"NA20513","TSI","Toscani in Italy","male"
"NA20514","TSI","Toscani in Italy","female"
"NA20515","TSI","Toscani in Italy","male"
"NA20516","TSI","Toscani in Italy","male"
"NA20517","TSI","Toscani in Italy","female"
"NA20518","TSI","Toscani in Italy","male"
"NA20519","TSI","Toscani in Italy","male"
"NA20520","TSI","Toscani in Italy","male"
"NA20521","TSI","Toscani in Italy","male"
"NA20522","TSI","Toscani in Italy","female"
"NA20524","TSI","Toscani in Italy","male"
"NA20525","TSI","Toscani in Italy","male"
"NA20527","TSI","Toscani in Italy","male"
"NA20528","TSI","Toscani in Italy","male"
"NA20529","TSI","Toscani in Italy","female"
"NA20530","TSI","Toscani in Italy","female"
"NA20531","TSI","Toscani in Italy","female"
"NA20532","TSI","Toscani in Italy","male"
"NA20533","TSI","Toscani in Italy","female"
"NA20534","TSI","Toscani in Italy","male"
"NA20535","TSI","Toscani in Italy","female"
"NA20536","TSI","Toscani in Italy","male"
"NA20537","TSI","Toscani in Italy","male"
"NA20538","TSI","Toscani in Italy","male"
"NA20539","TSI","Toscani in Italy","male"
"NA20540","TSI","Toscani in Italy","female"
"NA20541","TSI","Toscani in Italy","female"
"NA20542","TSI","Toscani in Italy","female"
"NA20543","TSI","Toscani in Italy","male"
"NA20544","TSI","Toscani in Italy","male"
"NA20581","TSI","Toscani in Italy","male"
"NA20582","TSI","Toscani in Italy","female"
"NA20585","TSI","Toscani in Italy","female"
"NA20586","TSI","Toscani in Italy","male"
"NA20587","TSI","Toscani in Italy","female"
"NA20588","TSI","Toscani in Italy","male"
"NA20589","TSI","Toscani in Italy","female"
"NA20752","TSI","Toscani in Italy","male"
"NA20753","TSI","Toscani in Italy","female"
"NA20754","TSI","Toscani in Italy","male"
"NA20755","TSI","Toscani in Italy","male"
"NA20756","TSI","Toscani in Italy","female"
"NA20757","TSI","Toscani in Italy","female"
"NA20758","TSI","Toscani in Italy","male"
"NA20759","TSI","Toscani in Italy","male"
"NA20760","TSI","Toscani in Italy","female"
"NA20761","TSI","Toscani in Italy","female"
"NA20762","TSI","Toscani in Italy","male"
"NA20763","TSI","Toscani in Italy","male"
"NA20764","TSI","Toscani in Italy","female"
"NA20765","TSI","Toscani in Italy","male"
"NA20766","TSI","Toscani in Italy","female"
"NA20767","TSI","Toscani in Italy","male"
"NA20768","TSI","Toscani in Italy","female"
"NA20769","TSI","Toscani in Italy","female"
"NA20770","TSI","Toscani in Italy","male"
"NA20771","TSI","Toscani in Italy","female"
"NA20772","TSI","Toscani in Italy","female"
"NA20773","TSI","Toscani in Italy","female"
"NA20774","TSI","Toscani in Italy","female"
"NA20775","TSI","Toscani in Italy","female"
"NA20778","TSI","Toscani in Italy","male"
"NA20783","TSI","Toscani in Italy","male"
"NA20785","TSI","Toscani in Italy","male"
"NA20786","TSI","Toscani in Italy","female"
"NA20787","TSI","Toscani in Italy","male"
"NA20790","TSI","Toscani in Italy","female"
"NA20792","TSI","Toscani in Italy","male"
"NA20795","TSI","Toscani in Italy","female"
"NA20796","TSI","Toscani in Italy","male"
"NA20797","TSI","Toscani in Italy","female"
"NA20798","TSI","Toscani in Italy","male"
"NA20799","TSI","Toscani in Italy","female"
"NA20800","TSI","Toscani in Italy","female"
"NA20801","TSI","Toscani in Italy","male"
"NA20802","TSI","Toscani in Italy","female"
"NA20803","TSI","Toscani in Italy","male"
"NA20804","TSI","Toscani in Italy","female"
"NA20805","TSI","Toscani in Italy","male"
"NA20806","TSI","Toscani in Italy","male"
"NA20807","TSI","Toscani in Italy","female"
"NA20808","TSI","Toscani in Italy","female"
"NA20809","TSI","Toscani in Italy","male"
"NA20810","TSI","Toscani in Italy","male"
"NA20811","TSI","Toscani in Italy","male"
"NA20812","TSI","Toscani in Italy","male"
"NA20813","TSI","Toscani in Italy","female"
"NA20814","TSI","Toscani in Italy","male"
"NA20815","TSI","Toscani in Italy","male"
"NA20816","TSI","Toscani in Italy","male"
"NA20818","TSI","Toscani in Italy","female"
"NA20819","TSI","Toscani in Italy","female"
"NA20821","TSI","Toscani in Italy","female"
"NA20822","TSI","Toscani in Italy","female"
"NA20826","TSI","Toscani in Italy","female"
"NA20827","TSI","Toscani in Italy","male"
"NA20828","TSI","Toscani in Italy","female"
"NA20829","TSI","Toscani in Italy","male"
"NA20831","TSI","Toscani in Italy","male"
"NA20832","TSI","Toscani in Italy","female"
"NA20845","GIH","Gujarati Indian in Houston,TX","male"
"NA20846","GIH","Gujarati Indian in Houston,TX","male"
"NA20847","GIH","Gujarati Indian in Houston,TX","female"
"NA20849","GIH","Gujarati Indian in Houston,TX","female"
"NA20850","GIH","Gujarati Indian in Houston,TX","male"
"NA20851","GIH","Gujarati Indian in Houston,TX","female"
"NA20852","GIH","Gujarati Indian in Houston,TX","male"
"NA20853","GIH","Gujarati Indian in Houston,TX","female"
"NA20854","GIH","Gujarati Indian in Houston,TX","female"
"NA20856","GIH","Gujarati Indian in Houston,TX","female"
"NA20858","GIH","Gujarati Indian in Houston,TX","male"
"NA20859","GIH","Gujarati Indian in Houston,TX","female"
"NA20861","GIH","Gujarati Indian in Houston,TX","male"
"NA20862","GIH","Gujarati Indian in Houston,TX","female"
"NA20863","GIH","Gujarati Indian in Houston,TX","male"
"NA20864","GIH","Gujarati Indian in Houston,TX","male"
"NA20866","GIH","Gujarati Indian in Houston,TX","male"
"NA20867","GIH","Gujarati Indian in Houston,TX","male"
"NA20868","GIH","Gujarati Indian in Houston,TX","female"
"NA20869","GIH","Gujarati Indian in Houston,TX","female"
"NA20870","GIH","Gujarati Indian in Houston,TX","male"
"NA20872","GIH","Gujarati Indian in Houston,TX","female"
"NA20873","GIH","Gujarati Indian in Houston,TX","male"
"NA20874","GIH","Gujarati Indian in Houston,TX","female"
"NA20875","GIH","Gujarati Indian in Houston,TX","female"
"NA20876","GIH","Gujarati Indian in Houston,TX","female"
"NA20877","GIH","Gujarati Indian in Houston,TX","female"
"NA20878","GIH","Gujarati Indian in Houston,TX","female"
"NA20881","GIH","Gujarati Indian in Houston,TX","female"
"NA20882","GIH","Gujarati Indian in Houston,TX","female"
"NA20883","GIH","Gujarati Indian in Houston,TX","male"
"NA20884","GIH","Gujarati Indian in Houston,TX","male"
"NA20885","GIH","Gujarati Indian in Houston,TX","male"
"NA20886","GIH","Gujarati Indian in Houston,TX","female"
"NA20887","GIH","Gujarati Indian in Houston,TX","male"
"NA20888","GIH","Gujarati Indian in Houston,TX","female"
"NA20889","GIH","Gujarati Indian in Houston,TX","male"
"NA20890","GIH","Gujarati Indian in Houston,TX","male"
"NA20891","GIH","Gujarati Indian in Houston,TX","male"
"NA20892","GIH","Gujarati Indian in Houston,TX","female"
"NA20894","GIH","Gujarati Indian in Houston,TX","female"
"NA20895","GIH","Gujarati Indian in Houston,TX","male"
"NA20896","GIH","Gujarati Indian in Houston,TX","female"
"NA20897","GIH","Gujarati Indian in Houston,TX","male"
"NA20899","GIH","Gujarati Indian in Houston,TX","female"
"NA20900","GIH","Gujarati Indian in Houston,TX","female"
"NA20901","GIH","Gujarati Indian in Houston,TX","male"
"NA20902","GIH","Gujarati Indian in Houston,TX","female"
"NA20903","GIH","Gujarati Indian in Houston,TX","male"
"NA20904","GIH","Gujarati Indian in Houston,TX","male"
"NA20905","GIH","Gujarati Indian in Houston,TX","male"
"NA20906","GIH","Gujarati Indian in Houston,TX","female"
"NA20908","GIH","Gujarati Indian in Houston,TX","female"
"NA20910","GIH","Gujarati Indian in Houston,TX","female"
"NA20911","GIH","Gujarati Indian in Houston,TX","male"
"NA21086","GIH","Gujarati Indian in Houston,TX","female"
"NA21087","GIH","Gujarati Indian in Houston,TX","male"
"NA21088","GIH","Gujarati Indian in Houston,TX","female"
"NA21089","GIH","Gujarati Indian in Houston,TX","female"
"NA21090","GIH","Gujarati Indian in Houston,TX","male"
"NA21091","GIH","Gujarati Indian in Houston,TX","male"
"NA21092","GIH","Gujarati Indian in Houston,TX","male"
"NA21093","GIH","Gujarati Indian in Houston,TX","male"
"NA21094","GIH","Gujarati Indian in Houston,TX","male"
"NA21095","GIH","Gujarati Indian in Houston,TX","male"
"NA21097","GIH","Gujarati Indian in Houston,TX","female"
"NA21098","GIH","Gujarati Indian in Houston,TX","male"
"NA21099","GIH","Gujarati Indian in Houston,TX","male"
"NA21100","GIH","Gujarati Indian in Houston,TX","male"
"NA21101","GIH","Gujarati Indian in Houston,TX","female"
"NA21102","GIH","Gujarati Indian in Houston,TX","female"
"NA21103","GIH","Gujarati Indian in Houston,TX","female"
"NA21104","GIH","Gujarati Indian in Houston,TX","male"
"NA21105","GIH","Gujarati Indian in Houston,TX","male"
"NA21106","GIH","Gujarati Indian in Houston,TX","female"
"NA21107","GIH","Gujarati Indian in Houston,TX","male"
"NA21108","GIH","Gujarati Indian in Houston,TX","female"
"NA21109","GIH","Gujarati Indian in Houston,TX","male"
"NA21110","GIH","Gujarati Indian in Houston,TX","female"
"NA21111","GIH","Gujarati Indian in Houston,TX","male"
"NA21112","GIH","Gujarati Indian in Houston,TX","male"
"NA21113","GIH","Gujarati Indian in Houston,TX","male"
"NA21114","GIH","Gujarati Indian in Houston,TX","male"
"NA21115","GIH","Gujarati Indian in Houston,TX","male"
"NA21116","GIH","Gujarati Indian in Houston,TX","male"
"NA21117","GIH","Gujarati Indian in Houston,TX","male"
"NA21118","GIH","Gujarati Indian in Houston,TX","male"
"NA21119","GIH","Gujarati Indian in Houston,TX","male"
"NA21120","GIH","Gujarati Indian in Houston,TX","female"
"NA21121","GIH","Gujarati Indian in Houston,TX","female"
"NA21122","GIH","Gujarati Indian in Houston,TX","female"
"NA21123","GIH","Gujarati Indian in Houston,TX","male"
"NA21124","GIH","Gujarati Indian in Houston,TX","male"
"NA21125","GIH","Gujarati Indian in Houston,TX","female"
"NA21126","GIH","Gujarati Indian in Houston,TX","male"
"NA21127","GIH","Gujarati Indian in Houston,TX","male"
"NA21128","GIH","Gujarati Indian in Houston,TX","male"
"NA21129","GIH","Gujarati Indian in Houston,TX","male"
"NA21130","GIH","Gujarati Indian in Houston,TX","male"
"NA21133","GIH","Gujarati Indian in Houston,TX","male"
"NA21135","GIH","Gujarati Indian in Houston,TX","male"
"NA21137","GIH","Gujarati Indian in Houston,TX","female"
"NA21141","GIH","Gujarati Indian in Houston,TX","female"
"NA21142","GIH","Gujarati Indian in Houston,TX","female"
"NA21143","GIH","Gujarati Indian in Houston,TX","female"
"NA21144","GIH","Gujarati Indian in Houston,TX","female"
